x,y,z
96.808,20.285,0.4925801
96.808,20.29,0.4926633
96.808,20.295,0.4925348
96.808,20.3,0.4926337
96.808,20.305,0.4924572
96.808,20.31,0.4928021
96.808,20.315,0.4923213
96.808,20.32,0.4925468
96.808,20.325,0.4922215
96.808,20.33,0.4926244
96.808,20.335,0.4922604
96.808,20.34,0.4919823
96.808,20.345,0.4920774
96.808,20.35,0.4913204
96.808,20.355,0.4920515
96.808,20.36,0.4921617
96.808,20.365,0.4920164
96.808,20.37,0.4920998
96.808,20.375,0.4920469
96.808,20.38,0.4922765
96.808,20.385,0.491888
96.813,20.02,0.4929008
96.813,20.025,0.4927115
96.813,20.03,0.4942156
96.813,20.035,0.494395
96.813,20.04,0.4943098
96.813,20.045,0.4946273
96.813,20.05,0.494804
96.813,20.055,0.4950748
96.813,20.06,0.4945394
96.813,20.065,0.4944972
96.813,20.07,0.4945591
96.813,20.075,0.4943645
96.813,20.08,0.4946533
96.813,20.085,0.4946269
96.813,20.09,0.4946148
96.813,20.095,0.4944504
96.813,20.1,0.4943789
96.813,20.105,0.4941538
96.813,20.11,0.494151
96.813,20.115,0.4942074
96.813,20.12,0.4944156
96.813,20.125,0.494212
96.813,20.13,0.4942353
96.813,20.135,0.4940244
96.813,20.14,0.4941205
96.813,20.145,0.4942102
96.813,20.15,0.4939071
96.813,20.155,0.4939842
96.813,20.16,0.4941062
96.813,20.165,0.4936846
96.813,20.17,0.4938287
96.813,20.175,0.4935358
96.813,20.18,0.493716
96.813,20.185,0.4934922
96.813,20.19,0.4936407
96.813,20.195,0.4933994
96.813,20.2,0.4936631
96.813,20.205,0.4934497
96.813,20.21,0.4934577
96.813,20.215,0.4933985
96.813,20.22,0.4933833
96.813,20.225,0.4932972
96.813,20.23,0.4933196
96.813,20.235,0.493534
96.813,20.24,0.4934317
96.813,20.245,0.4930292
96.813,20.25,0.4934012
96.813,20.255,0.49289
96.813,20.26,0.4930963
96.813,20.265,0.4929756
96.813,20.27,0.4932488
96.813,20.275,0.4929501
96.813,20.28,0.4928786
96.813,20.285,0.4926998
96.813,20.29,0.4928864
96.813,20.295,0.4927002
96.813,20.3,0.4927931
96.813,20.305,0.4924837
96.813,20.31,0.492953
96.813,20.315,0.4924864
96.813,20.32,0.4927603
96.813,20.325,0.4922379
96.813,20.33,0.4927572
96.813,20.335,0.4923103
96.813,20.34,0.4921088
96.813,20.345,0.4921007
96.813,20.35,0.4925097
96.813,20.355,0.4920729
96.813,20.36,0.4922442
96.813,20.365,0.4921384
96.813,20.37,0.4922083
96.813,20.375,0.4921264
96.813,20.38,0.4924191
96.813,20.385,0.4920534
96.818,20.02,0.492951
96.818,20.025,0.4927997
96.818,20.03,0.4944449
96.818,20.035,0.4943671
96.818,20.04,0.49448
96.818,20.045,0.4947609
96.818,20.05,0.4948524
96.818,20.055,0.495082
96.818,20.06,0.4945816
96.818,20.065,0.4946694
96.818,20.07,0.4947143
96.818,20.075,0.4944999
96.818,20.08,0.4947089
96.818,20.085,0.4947986
96.818,20.09,0.4948312
96.818,20.095,0.4945231
96.818,20.1,0.4944874
96.818,20.105,0.4944165
96.818,20.11,0.4942545
96.818,20.115,0.4943157
96.818,20.12,0.4944354
96.818,20.125,0.4943035
96.818,20.13,0.4944076
96.818,20.135,0.4942077
96.818,20.14,0.4941717
96.818,20.145,0.4942364
96.818,20.15,0.4939744
96.818,20.155,0.4940892
96.818,20.16,0.4943229
96.818,20.165,0.4938335
96.818,20.17,0.4939173
96.818,20.175,0.4937456
96.818,20.18,0.4938892
96.818,20.185,0.4936326
96.818,20.19,0.4938057
96.818,20.195,0.4934287
96.818,20.2,0.4938048
96.818,20.205,0.4934488
96.818,20.21,0.4936326
96.818,20.215,0.4934685
96.818,20.22,0.4935412
96.818,20.225,0.4933214
96.818,20.23,0.4934299
96.818,20.235,0.4936425
96.818,20.24,0.4935196
96.818,20.245,0.4930999
96.818,20.25,0.4934299
96.818,20.255,0.4930314
96.818,20.26,0.4932562
96.818,20.265,0.4930706
96.818,20.27,0.4933384
96.818,20.275,0.4929827
96.818,20.28,0.4930873
96.818,20.285,0.4928946
96.818,20.29,0.4930283
96.818,20.295,0.4929124
96.818,20.3,0.4928915
96.818,20.305,0.4926873
96.818,20.31,0.4929821
96.818,20.315,0.492585
96.818,20.32,0.4928989
96.818,20.325,0.4923117
96.818,20.33,0.4929232
96.818,20.335,0.4923671
96.818,20.34,0.4921168
96.818,20.345,0.4923312
96.818,20.35,0.4926041
96.818,20.355,0.4921715
96.818,20.36,0.4923743
96.818,20.365,0.4922298
96.818,20.37,0.4923393
96.818,20.375,0.4922397
96.818,20.38,0.4924944
96.818,20.385,0.4921689
96.823,20.02,0.4929443
96.823,20.025,0.4929312
96.823,20.03,0.4944372
96.823,20.035,0.4944829
96.823,20.04,0.4944682
96.823,20.045,0.4948829
96.823,20.05,0.4950838
96.823,20.055,0.4951269
96.823,20.06,0.4947116
96.823,20.065,0.4948219
96.823,20.07,0.4948327
96.823,20.075,0.4946515
96.823,20.08,0.4948393
96.823,20.085,0.4949134
96.823,20.09,0.4949547
96.823,20.095,0.4945959
96.823,20.1,0.4946013
96.823,20.105,0.494517
96.823,20.11,0.4944142
96.823,20.115,0.4944255
96.823,20.12,0.4945109
96.823,20.125,0.494395
96.823,20.13,0.4944769
96.823,20.135,0.4943122
96.823,20.14,0.4943279
96.823,20.145,0.4943741
96.823,20.15,0.4941519
96.823,20.155,0.4942059
96.823,20.16,0.4944447
96.823,20.165,0.4940353
96.823,20.17,0.4940962
96.823,20.175,0.4939151
96.823,20.18,0.4940212
96.823,20.185,0.4936936
96.823,20.19,0.4939564
96.823,20.195,0.4935788
96.823,20.2,0.4938043
96.823,20.205,0.4936398
96.823,20.21,0.4937501
96.823,20.215,0.4935803
96.823,20.22,0.4937412
96.823,20.225,0.4934192
96.823,20.23,0.4935788
96.823,20.235,0.4937851
96.823,20.24,0.49363
96.823,20.245,0.4932443
96.823,20.25,0.4935053
96.823,20.255,0.4931447
96.823,20.26,0.4933625
96.823,20.265,0.4932362
96.823,20.27,0.4934009
96.823,20.275,0.4931878
96.823,20.28,0.4932972
96.823,20.285,0.4929713
96.823,20.29,0.4931238
96.823,20.295,0.4930407
96.823,20.3,0.4929806
96.823,20.305,0.4928308
96.823,20.31,0.4930227
96.823,20.315,0.4926611
96.823,20.32,0.4929478
96.823,20.325,0.4924433
96.823,20.33,0.493003
96.823,20.335,0.4924559
96.823,20.34,0.4922133
96.823,20.345,0.4924433
96.823,20.35,0.4925958
96.823,20.355,0.4923518
96.823,20.36,0.4925133
96.823,20.365,0.4923761
96.823,20.37,0.4925522
96.823,20.375,0.4923967
96.823,20.38,0.4926934
96.823,20.385,0.4922048
96.828,20.02,0.4930837
96.828,20.025,0.4929744
96.828,20.03,0.4944899
96.828,20.035,0.4946572
96.828,20.04,0.4946533
96.828,20.045,0.4949369
96.828,20.05,0.4952654
96.828,20.055,0.4951286
96.828,20.06,0.4948367
96.828,20.065,0.4949639
96.828,20.07,0.494855
96.828,20.075,0.4947984
96.828,20.08,0.4949871
96.828,20.085,0.4950711
96.828,20.09,0.4950668
96.828,20.095,0.4947409
96.828,20.1,0.4947087
96.828,20.105,0.4945196
96.828,20.11,0.4945466
96.828,20.115,0.494517
96.828,20.12,0.4946233
96.828,20.125,0.4944804
96.828,20.13,0.4945492
96.828,20.135,0.494456
96.828,20.14,0.4945475
96.828,20.145,0.4944381
96.828,20.15,0.494226
96.828,20.155,0.4943035
96.828,20.16,0.4945771
96.828,20.165,0.4941615
96.828,20.17,0.4942399
96.828,20.175,0.4940465
96.828,20.18,0.4941658
96.828,20.185,0.4938801
96.828,20.19,0.4940596
96.828,20.195,0.4937241
96.828,20.2,0.4938705
96.828,20.205,0.4936718
96.828,20.21,0.4936784
96.828,20.215,0.4936379
96.828,20.22,0.4938156
96.828,20.225,0.4935795
96.828,20.23,0.4937381
96.828,20.235,0.4937886
96.828,20.24,0.4936377
96.828,20.245,0.4933887
96.828,20.25,0.493569
96.828,20.255,0.4932379
96.828,20.26,0.4934627
96.828,20.265,0.4933651
96.828,20.27,0.493508
96.828,20.275,0.4933042
96.828,20.28,0.4934192
96.828,20.285,0.4931201
96.828,20.29,0.4932379
96.828,20.295,0.4931752
96.828,20.3,0.4930829
96.828,20.305,0.4929417
96.828,20.31,0.4931743
96.828,20.315,0.4928223
96.828,20.32,0.49298
96.828,20.325,0.4925958
96.828,20.33,0.4930397
96.828,20.335,0.4925217
96.828,20.34,0.4923213
96.828,20.345,0.4926028
96.828,20.35,0.4925679
96.828,20.355,0.4925313
96.828,20.36,0.492662
96.828,20.365,0.492601
96.828,20.37,0.4926699
96.828,20.375,0.4925418
96.828,20.38,0.492761
96.828,20.385,0.4923518
96.833,20.02,0.4931709
96.833,20.025,0.4930532
96.833,20.03,0.4949473
96.833,20.035,0.4947723
96.833,20.04,0.4947406
